standard_sort	unit_id	parent_unit_id	unit_name	strat_index	rank	start_age_ma	end_age_ma	start_age_err_ma	font_color	cmyk	cyan	magenta	yellow	black	rgb	red	green	blue	html_rgb_hash
122	121	56	Eifelian	D2e	Stage	387.7 ±0.8	393.3 ±1.2		Black	5/15/50/0	5	15	50	0	241/213/118	241	213	118	#F1D576
123	56	33	Middle Devonian	D2	Series	382.7 ±1.6	393.3 ±1.2		Black	5/20/55/0	5	20	55	0	241/200/104	241	200	104	#F1C868
124	120	55	Emsian	D1e	Stage	393.3 ±1.2	407.6 ±2.6		Black	10/15/50/0	10	15	50	0	229/208/117	229	208	117	#E5D075
125	119	55	Pragian	D1p	Stage	407.6 ±2.6	410.8 ±2.8		Black	10/20/55/0	10	20	55	0	229/196/104	229	196	104	#E5C468
126	118	55	Lochkovian	D1l	Stage	410.8 ±2.8	419.2 ±3.2		Black	10/25/60/0	10	25	60	0	229/183/90	229	183	90	#E5B75A
127	55	33	Lower Devonian	D1	Series	393.3 ±1.2	419.2 ±3.2		Black	10/30/65/0	10	30	65	0	229/172/77	229	172	77	#E5AC4D
128	33	13	Devonian	D	System	358.9 ±0.4	419.2 ±3.2		Black	20/40/75/0	20	40	75	0	203/140/55	203	140	55	#CB8C37
129	117	54	Pridoli	S3p	Stage	419.2 ±3.2	423.0 ±2.3		None	10/0/10/0	10	0	10	0	230/245/225	230	245	225	#E6F5E1
130	54	32	Pridoli	S3-2	Series	419.2 ±3.2	423.0 ±2.3		Black	10/0/10/0	10	0	10	0	230/245/225	230	245	225	#E6F5E1
131	116	53	Ludfordian	S3l	Stage	423.0 ±2.3	425.6 ±0.9		Black	15/0/10/0	15	0	10	0	217/240/223	217	240	223	#D9F0DF
132	115	53	Gorstian	S3g	Stage	425.6 ±0.9	427.4 ±0.5		Black	20/0/10/0	20	0	10	0	204/236/221	204	236	221	#CCECDD
133	53	32	Ludlow	S3-1	Series	423.0 ±2.3	427.4 ±0.5		Black	25/0/15/0	25	0	15	0	191/230/207	191	230	207	#BFE6CF
134	114	52	Homerian	S2h	Stage	427.4 ±0.5	430.5 ±0.7		Black	20/0/15/0	20	0	15	0	204/235/209	204	235	209	#CCEBD1
135	113	52	Sheinwoodian	S2s	Stage	430.5 ±0.7	433.4 ±0.8		Black	25/0/20/0	25	0	20	0	191/230/195	191	230	195	#BFE6C3
136	52	32	Wenlock	S2	Series	427.4 ±0.5	433.4 ±0.8		Black	30/0/20/0	30	0	20	0	179/225/194	179	225	194	#B3E1C2
137	112	51	Telychian	S1t	Stage	433.4 ±0.8	438.5 ±1.1		Black	25/0/15/0	25	0	15	0	191/230/207	191	230	207	#BFE6CF
138	111	51	Aeronian	S1a	Stage	438.5 ±1.1	440.8 ±1.2		Black	30/0/20/0	30	0	20	0	179/225/194	179	225	194	#B3E1C2
139	110	51	Rhuddanian	S1r	Stage	440.8 ±1.2	443.8 ±1.5		Black	35/0/25/0	35	0	25	0	166/220/181	166	220	181	#A6DCB5
140	51	32	Llandovery	S1	Series	433.4 ±0.8	443.8 ±1.5		Black	40/0/25/0	40	0	25	0	153/215/179	153	215	179	#99D7B3
141	32	13	Silurian	S	System	419.2 ±3.2	443.8 ±1.5		Black	30/0/25/0	30	0	25	0	179/225/182	179	225	182	#B3E1B6
142	109	50	Hirnantian	O3h	Stage	443.8 ±1.5	445.2 ±1.4		Black	35/0/30/0	35	0	30	0	166/219/171	166	219	171	#A6DBAB
143	108	50	Katian	O3k	Stage	445.2 ±1.4	453.0 ±0.7		Black	40/0/35/0	40	0	35	0	153/214/159	153	214	159	#99D69F
144	107	50	Sandbian	O3s	Stage	453.0 ±0.7	458.4 ±0.9		Black	45/0/40/0	45	0	40	0	140/208/148	140	208	148	#8CD094
145	50	31	Upper Ordovician	O3	Series	443.8 ±1.5	458.4 ±0.9		Black	50/0/40/0	50	0	40	0	127/202/147	127	202	147	#7FCA93
146	106	49	Darriwilian	O2dr	Stage	458.4 ±0.9	467.3 ±1.1		White	55/0/35/0	55	0	35	0	116/198/156	116	198	156	#74C69C
147	105	49	Dapingian	O2d	Stage	467.3 ±1.1	470.0 ±1.4		White	60/0/40/0	60	0	40	0	102/192/146	102	192	146	#66C092
148	49	31	Middle Ordovician	O2	Series	458.4 ±0.9	470.0 ±1.4		White	70/0/50/0	70	0	50	0	77/180/126	77	180	126	#4DB47E
149	104	48	Floian	O1f	Stage	470.0 ±1.4	477.7 ±1.4		White	75/0/45/0	75	0	45	0	65/176/135	65	176	135	#41B087
150	103	48	Tremadocian	O1t	Stage	477.7 ±1.4	485.4 ±1.9		White	80/0/50/0	80	0	50	0	51/169/126	51	169	126	#33A97E
151	48	31	Lower Ordovician	O1	Series	470.0 ±1.4	485.4 ±1.9		White	90/0/60/0	90	0	60	0	26/157/111	26	157	111	#1A9D6F
152	31	13	Ordovician	O	System	443.8 ±1.5	485.4 ±1.9		White	100/0/60/0	100	0	60	0	0/146/112	0	146	112	#009270
153	102	47	Stage 10		Stage	485.4 ±1.9	~ 489.5		Black	10/0/20/0	10	0	20	0	230/245/201	230	245	201	#E6F5C9
154	101	47	Jiangshanian	Cmb2j	Stage	~ 489.5	~ 494		Black	15/0/25/0	15	0	25	0	217/240/187	217	240	187	#D9F0BB
155	100	47	Paibian	Cmb2p	Stage	~ 494	~ 497		Black	20/0/35/0	20	0	35	0	204/235/174	204	235	174	#CCEBAE
156	47	30	Furongian	Cmb2-2	Series	485.4 ±1.9	~ 497		Black	30/0/40/0	30	0	40	0	179/224/149	179	224	149	#B3E095
157	99	46	Guzhangian	Cmb2g	Stage	~ 497	~ 500.5		Black	20/5/30/0	20	5	30	0	204/223/170	204	223	170	#CCDFAA
158	98	46	Drumian	Cmb2d	Stage	~ 500.5	~ 504.5		Black	25/5/35/0	25	5	35	0	191/217/157	191	217	157	#BFD99D
159	97	46	Wuliuan	Cmb2w	Stage	~ 504.5	~ 509		Black	30/5/40/0	30	5	40	0	179/212/146	179	212	146	#B3D492
160	46	30	Miaolingian	Cmb2-1	Series	~ 497	~ 509		Black	35/5/45/0	35	5	45	0	166/207/134	166	207	134	#A6CF86
161	96	45	Stage 4		Stage	~ 509	~ 514		Black	30/10/40/0	30	10	40	0	179/202/142	179	202	142	#B3CA8E
162	95	45	Stage 3		Stage	~ 514	~ 521		Black	35/10/45/0	35	10	45	0	166/197/131	166	197	131	#A6C583
163	45	30	Series 2	Cmb1-2	Series	~ 509	~ 521		Black	40/10/50/0	40	10	50	0	153/192/120	153	192	120	#99C078
164	94	44	Stage 2		Stage	~ 521	~ 529		Black	35/15/45/0	35	15	45	0	166/186/128	166	186	128	#A6BA80
165	93	44	Fortunian	Cmb1f	Stage	~ 529	538.8 ±0.2		Black	40/15/50/0	40	15	50	0	153/181/117	153	181	117	#99B575
